phase,epoch,batch,batches_per_epoch,lr,train_loss,train_ber,train_fer,epoch_time_s,cum_updates,cum_time_s
1,222,200,200,8.25e-05,0.0351,0.0143,0.142,14.25285530090332,44400,3175.502913713455
1,223,200,200,8.24e-05,0.0376,0.015,0.148,14.193352460861206,44600,3189.6962661743164
1,224,200,200,8.22e-05,0.0373,0.015,0.148,14.254884958267212,44800,3203.9511511325836
1,225,200,200,8.21e-05,0.0365,0.0145,0.144,14.29892349243164,45000,3218.2500746250153
1,226,200,200,8.19e-05,0.0366,0.0147,0.147,14.289936780929565,45200,3232.540011405945
1,227,200,200,8.18e-05,0.0369,0.0148,0.147,14.291854858398438,45400,3246.8318662643433
1,228,200,200,8.16e-05,0.0359,0.0142,0.143,14.299250364303589,45600,3261.131116628647
1,229,200,200,8.14e-05,0.0356,0.0142,0.141,14.277710914611816,45800,3275.4088275432587
1,230,200,200,8.13e-05,0.0353,0.014,0.14,14.305378437042236,46000,3289.714205980301
1,231,200,200,8.11e-05,0.0361,0.0146,0.143,14.367109060287476,46200,3304.0813150405884
1,232,200,200,8.1e-05,0.0358,0.0143,0.143,14.39171552658081,46400,3318.473030567169
1,233,200,200,8.08e-05,0.0355,0.0142,0.142,14.314517736434937,46600,3332.787548303604
1,234,200,200,8.07e-05,0.0361,0.0145,0.142,14.217726945877075,46800,3347.005275249481
1,235,200,200,8.05e-05,0.0363,0.0145,0.142,14.314913272857666,47000,3361.320188522339
1,236,200,200,8.04e-05,0.0344,0.0137,0.138,14.348291873931885,47200,3375.6684803962708
1,237,200,200,8.02e-05,0.0358,0.0143,0.142,14.354228973388672,47400,3390.0227093696594
1,238,200,200,8.01e-05,0.035,0.014,0.139,14.358146667480469,47600,3404.38085603714
1,239,200,200,7.99e-05,0.0355,0.0143,0.14,14.307310581207275,47800,3418.688166618347
1,240,200,200,7.98e-05,0.0347,0.0138,0.138,14.25668978691101,48000,3432.944856405258
1,241,200,200,7.96e-05,0.0349,0.0141,0.139,14.233468770980835,48200,3447.178325176239
1,242,200,200,7.94e-05,0.0346,0.0137,0.138,14.215579986572266,48400,3461.3939051628113
1,243,200,200,7.93e-05,0.0349,0.0139,0.137,14.313150644302368,48600,3475.7070558071136
1,244,200,200,7.91e-05,0.0349,0.014,0.139,14.307790756225586,48800,3490.0148465633392
1,245,200,200,7.9e-05,0.0352,0.014,0.139,14.35703158378601,49000,3504.3718781471252
1,246,200,200,7.88e-05,0.0351,0.0141,0.141,14.36922574043274,49200,3518.741103887558
1,247,200,200,7.86e-05,0.0351,0.0141,0.14,14.366487264633179,49400,3533.107591152191
1,248,200,200,7.85e-05,0.0352,0.014,0.14,14.345316886901855,49600,3547.452908039093
1,249,200,200,7.83e-05,0.0346,0.0139,0.137,14.283543348312378,49800,3561.7364513874054
1,250,200,200,7.82e-05,0.0352,0.0141,0.14,14.262899160385132,50000,3575.9993505477905
1,251,200,200,7.8e-05,0.0335,0.0134,0.134,14.276799201965332,50200,3590.276149749756
1,252,200,200,7.78e-05,0.0347,0.0139,0.138,14.228548526763916,50400,3604.50469827652
1,253,200,200,7.77e-05,0.035,0.0141,0.143,14.235769510269165,50600,3618.740467786789
1,254,200,200,7.75e-05,0.0346,0.0138,0.137,14.272643566131592,50800,3633.0131113529205
1,255,200,200,7.74e-05,0.0347,0.014,0.139,14.32052230834961,51000,3647.33363366127
1,256,200,200,7.72e-05,0.0337,0.0134,0.134,14.339163780212402,51200,3661.6727974414825
1,257,200,200,7.7e-05,0.0355,0.0143,0.14,14.36175274848938,51400,3676.034550189972
1,258,200,200,7.69e-05,0.0346,0.0139,0.142,14.352832078933716,51600,3690.3873822689056
1,259,200,200,7.67e-05,0.0353,0.0141,0.139,14.330280303955078,51800,3704.7176625728607
1,260,200,200,7.65e-05,0.0349,0.0139,0.137,14.331879138946533,52000,3719.0495417118073
1,261,200,200,7.64e-05,0.0347,0.0139,0.136,14.307328701019287,52200,3733.3568704128265
1,262,200,200,7.62e-05,0.0354,0.0142,0.139,14.324905395507812,52400,3747.6817758083344
1,263,200,200,7.6e-05,0.0356,0.0141,0.139,14.272787809371948,52600,3761.9545636177063
1,264,200,200,7.59e-05,0.0339,0.0136,0.135,14.24889063835144,52800,3776.2034542560577
1,265,200,200,7.57e-05,0.0339,0.0136,0.135,14.21312427520752,53000,3790.4165785312653
1,266,200,200,7.55e-05,0.0349,0.0139,0.137,14.205676794052124,53200,3804.6222553253174
