epoch,learning_rate,loss,ber,fer,train_time_seconds,is_best_loss
382,1.42e-05,0.0266,0.0109,0.0974,70.21668362617493,False
383,1.4e-05,0.0259,0.0106,0.0961,70.60484147071838,True
384,1.38e-05,0.0266,0.0109,0.0978,70.076495885849,False
385,1.36e-05,0.0268,0.0109,0.0985,69.99203824996948,False
386,1.34e-05,0.0264,0.0108,0.0969,70.00204038619995,False
387,1.32e-05,0.0261,0.0107,0.0965,70.25071024894714,False
388,1.3e-05,0.0265,0.0109,0.0973,70.63411831855774,False
389,1.28e-05,0.0268,0.0109,0.0988,70.3227813243866,False
390,1.26e-05,0.0271,0.0111,0.0988,69.96231865882874,False
391,1.24e-05,0.0269,0.0111,0.0991,69.97155117988586,False
392,1.22e-05,0.0267,0.0109,0.0982,70.6256947517395,False
393,1.2e-05,0.0264,0.0108,0.0973,70.46703267097473,False
394,1.18e-05,0.0266,0.0108,0.0981,69.87121605873108,False
395,1.16e-05,0.0264,0.0108,0.0966,70.53076934814453,False
396,1.14e-05,0.0268,0.0109,0.0981,70.01442456245422,False
397,1.12e-05,0.0265,0.0109,0.0976,70.52924418449402,False
398,1.1e-05,0.0264,0.0108,0.0968,70.01999878883362,False
399,1.08e-05,0.0268,0.011,0.0983,70.56206822395325,False
400,1.06e-05,0.0264,0.0108,0.0965,70.80767154693604,False
401,1.05e-05,0.0266,0.0109,0.0973,70.35974264144897,False
402,1.03e-05,0.0269,0.011,0.0994,70.22815155982971,False
403,1.01e-05,0.0266,0.0109,0.097,70.28528952598572,False
404,9.91e-06,0.027,0.0111,0.0985,70.24892067909241,False
405,9.74e-06,0.0263,0.0107,0.097,70.4567768573761,False
406,9.56e-06,0.0267,0.0109,0.0976,70.67836689949036,False
407,9.39e-06,0.0265,0.0108,0.0971,70.37791275978088,False
408,9.21e-06,0.0264,0.0108,0.0967,70.33535814285278,False
409,9.04e-06,0.0264,0.0108,0.0973,69.84511661529541,False
410,8.87e-06,0.0269,0.0109,0.0984,69.89556431770325,False
411,8.71e-06,0.0269,0.011,0.0982,70.67042779922485,False
412,8.54e-06,0.0264,0.0108,0.0967,70.78583121299744,False
413,8.38e-06,0.0266,0.0109,0.0974,70.22949433326721,False
414,8.21e-06,0.0264,0.0108,0.0969,70.8466317653656,False
415,8.05e-06,0.0265,0.0109,0.0975,70.51190519332886,False
416,7.89e-06,0.026,0.0106,0.0952,70.1892819404602,False
417,7.74e-06,0.0266,0.0109,0.0974,70.2558057308197,False
418,7.58e-06,0.0269,0.011,0.0975,70.56025075912476,False
